,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
32,2756,Ryoken (Stormcrow) H,,Ryoken (Stormcrow),H,55,2061,Clan,14937156,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/Bf61VVz/ryoken-stormcrow-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"12""",0,6,3,0,5,False,5,False,0,False,0,False,1,42,"ENE,OMNI",0,55,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
33,3472,Vulture (Mad Dog) H,,Vulture (Mad Dog),H,60,2097,Clan,16002000,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/G07Yxwn/vulture-mad-dog-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"10""",0,5,3,0,6,False,6,False,3,False,0,False,1,48,"CASE,IF2,OMNI",0,60,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
34,1005,Exterminator EXT-4Db,,Exterminator,EXT-4Db,65,1694,Inner Sphere,16111673,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2718,10,2571,https://i.ibb.co/Jjc3HSm/exterminator-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"12""j",0,7,3,0,3,False,3,False,1,False,0,False,1,38,ENE,0,65,clan-invasion,c_ih,3050,3061,Clan Invasion,Clan Ice Hellion
35,1890,Linebacker E,,Linebacker,E,65,1846,Clan,20555906,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/tQMGwwY/linebacker-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"12""",0,6,4,0,4,False,3,False,2,False,0,False,0,40,"CASE,LPRB,OMNI,RCN",0,65,clan-invasion,c_ih,3061,3061,Clan Invasion,Clan Ice Hellion
36,1928,Loki (Hellbringer) H,,Loki (Hellbringer),H,65,1952,Clan,18504406,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/TP1Xph3/loki-hellbringer-rg.png,False,True,1.0,BattleMech,Sniper,BM,3,"10""",0,4,4,0,4,False,3,False,4,False,0,False,2,40,"CASE,IF1,OMNI,PRB,RCN",0,65,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
37,1889,Linebacker D,,Linebacker,D,65,2039,Clan,20308716,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/tQMGwwY/linebacker-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"12""",0,6,4,0,7,False,7,False,0,False,0,False,0,50,"CASE,OMNI,REAR1/1/-",0,65,clan-invasion,c_ih,3052,3061,Clan Invasion,Clan Ice Hellion
38,1887,Linebacker B,,Linebacker,B,65,2048,Clan,19747716,Standard,463,TR:J,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/tQMGwwY/linebacker-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"12""",0,6,4,0,4,False,5,False,2,False,0,False,0,43,"CASE,OMNI",0,65,clan-invasion,c_ih,3052,3061,Clan Invasion,Clan Ice Hellion
39,1888,Linebacker C,,Linebacker,C,65,2075,Clan,20137219,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/tQMGwwY/linebacker-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"12""",0,6,4,0,5,False,4,False,2,False,0,False,0,41,"CASE,OMNI,REAR1/1/-",0,65,clan-invasion,c_ih,3052,3061,Clan Invasion,Clan Ice Hellion
40,493,Cauldron-Born (Ebon Jaguar) D,,Cauldron-Born (Ebon Jaguar),D,65,2228,Clan,18401281,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/2MKhtHm/cauldron-born-ebon-jaguar-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"10""",0,6,4,0,5,False,5,False,4,False,0,False,1,47,"CASE,OMNI",0,65,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
41,1886,Linebacker A,,Linebacker,A,65,2264,Clan,20394825,Standard,463,TR:J,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/tQMGwwY/linebacker-rg.png,False,True,1.0,BattleMech,Sniper,BM,3,"12""",0,6,4,0,4,False,4,False,4,False,0,False,1,44,"CASE,IF1,OMNI",0,65,clan-invasion,c_ih,3052,3061,Clan Invasion,Clan Ice Hellion
42,1892,Linebacker Prime,,Linebacker,Prime,65,2390,Clan,20277984,Standard,463,TR:J,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/tQMGwwY/linebacker-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,3,"12""",0,6,4,0,4,False,4,False,4,False,0,False,1,44,"CASE,IF0*,OMNI,REAR1/1/-",0,65,clan-invasion,c_ih,3052,3061,Clan Invasion,Clan Ice Hellion
43,2301,Nova Cat C,,Nova Cat,C,70,1944,Clan,17297004,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/mGTnWp9/nova-cat-rg.png,False,True,1.0,BattleMech,Sniper,BM,3,"8""",0,7,4,0,4,False,5,False,5,False,0,False,0,42,"CASE,FLK0*/0*/0*,OMNI",0,70,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
44,2302,Nova Cat D,,Nova Cat,D,70,2084,Clan,17783417,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/mGTnWp9/nova-cat-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,7,4,0,5,False,5,False,1,False,0,False,1,40,"CASE,FLK1/1/1,OMNI",0,70,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
45,2300,Nova Cat B,,Nova Cat,B,70,2492,Clan,18429417,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/mGTnWp9/nova-cat-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"8""",0,7,4,0,6,False,6,False,6,False,0,False,1,53,"CASE,IF5,LRM5/5/5,OMNI",0,70,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
46,2306,Nova Cat Prime,,Nova Cat,Prime,70,2530,Clan,17672917,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/mGTnWp9/nova-cat-rg.png,True,True,1.0,BattleMech,Sniper,BM,3,"8""",0,7,4,0,5,False,5,False,5,False,0,False,1,44,"ENE,OMNI,OVL",0,70,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
47,3180,Thor (Summoner) H,,Thor (Summoner),H,70,2536,Clan,20976583,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/9ZFfGVK/thor-summoner-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"10""j",0,6,4,0,5,False,5,False,0,False,0,False,0,43,"AMS,CASE,OMNI",0,70,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
48,2299,Nova Cat A,,Nova Cat,A,70,2629,Clan,17383917,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/mGTnWp9/nova-cat-rg.png,False,True,1.0,BattleMech,Sniper,BM,3,"8""j",0,7,4,0,5,False,5,False,5,False,0,False,0,43,"ENE,OMNI",0,70,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
49,1984,Mad Cat (Timber Wolf) H,,Mad Cat (Timber Wolf),H,75,2627,Clan,24815547,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/WtNS1pR/mad-cat-timber-wolf-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"10""",0,8,4,0,6,False,6,False,4,False,0,False,1,58,"CASE,IF2,OMNI",0,75,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
50,3432,Viper (Black Python)  ,Black Python,Viper (Black Python), ,75,2813,Clan,18828250,Standard,539,RGv1,456,RG12,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/zPghpK6/viper-black-python-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"10""j",0,7,4,0,5,False,4,False,3,False,0,False,2,46,CASE,0,75,clan-invasion,c_ih,3051,3061,Clan Invasion,Clan Ice Hellion
51,2008,Man O' War (Gargoyle) H,,Man O' War (Gargoyle),H,80,2183,Clan,26364900,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/t2wt40P/man-o-war-gargoyle-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,4,"10""",0,7,4,0,5,False,5,False,3,False,0,False,1,50,"CASE,IF1,OMNI",0,80,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
52,3502,Warhammer IIC 3,,Warhammer IIC,3,80,2382,Clan,8832000,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/FJgmjjN/warhammer-iic-3-pp.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,8,6,0,7,False,7,False,0,False,0,False,1,49,ENE,0,80,clan-invasion,c_ih,3060,3061,Clan Invasion,Clan Ice Hellion
53,2096,Masakari (Warhawk) H,,Masakari (Warhawk),H,85,2601,Clan,25662198,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/D4qRft6/masakari-warhawk-rg.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,9,5,0,6,False,6,False,4,False,0,False,1,53,"CASE,IF1,OMNI",0,85,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
54,2931,Shogun C,,Shogun,C,85,3032,Clan,10139850,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2850,11,2781,https://i.ibb.co/mDZbXFn/shogun-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,4,"6""j",0,8,7,0,7,False,7,False,5,False,0,False,2,58,"CASE,IF2",0,85,clan-invasion,c_ih,3050,3061,Clan Invasion,Clan Ice Hellion
55,1208,Gladiator (Executioner) H,,Gladiator (Executioner),H,95,3059,Clan,36196916,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/Mfdfgzk/gladiator-executioner-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,4,"10""/8""j",0,9,5,0,5,False,5,False,0,False,0,False,2,53,"CASE,JMPW1,OMNI",0,95,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
56,1805,Kodiak  ,,Kodiak, ,100,2927,Clan,29791333,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3001,255,2901,https://i.ibb.co/0tfStdH/kodiak-rg.png,True,True,1.0,BattleMech,Brawler,BM,4,"8""",0,9,5,0,7,False,7,False,1,False,0,False,4,53,CASE,0,100,clan-invasion,c_ih,3050,3061,Clan Invasion,Clan Ice Hellion
57,817,Daishi (Dire Wolf) H,,Daishi (Dire Wolf),H,100,2992,Clan,28518750,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/X37BW2R/daishi-dire-wolf-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,10,5,0,7,False,7,False,4,False,0,False,1,56,"CASE,OMNI",0,100,clan-invasion,c_ih,3059,3061,Clan Invasion,Clan Ice Hellion
0,8127,Stinger C,,Stinger,C,20,592,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,CASE,0,20,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
1,2980,Snow Fox 2,,Snow Fox,2,20,604,Clan,1883200,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3015,255,2901,https://i.ibb.co/Brn6ywT/snow-fox-3060.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"20""",0,2,2,0,1,False,1,False,1,False,0,False,0,23,"CASE,IF1",0,20,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
2,189,Baboon (Howler)  ,,Baboon (Howler), ,20,645,Clan,1826240,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2871,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,2,0,1,False,1,False,1,False,0,False,0,20,"CASE,IF1",0,20,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
3,3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
4,8128,Stinger C 2,,Stinger,C 2,20,754,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2838,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,ENE,0,20,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
5,2979,Snow Fox  ,,Snow Fox, ,20,807,Clan,1826200,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3015,255,2901,https://i.ibb.co/Brn6ywT/snow-fox-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"20""",0,2,2,0,2,False,2,False,0,False,0,False,0,27,ENE,0,20,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
6,2536,Piranha 2,,Piranha,2,20,853,Clan,2869440,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/bdG1GbP/piranha-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,1,0,4,False,2,False,0,False,0,False,0,24,ENE,0,20,civil-war,c_ih,3067,3067,Civil War,Clan Ice Hellion
7,1602,Icestorm  ,,Icestorm, ,25,728,Clan,4423750,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2830,11,2781,https://i.ibb.co/wLLWmM2/icestorm-3060.png,True,True,1.0,BattleMech,Scout,BM,1,"24""",0,2,1,0,1,False,1,False,0,False,0,False,0,20,"CASE,TAG",0,25,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
8,1915,Locust IIC 2,,Locust IIC,2,25,937,Clan,2162292,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2837,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,3,False,3,False,0,False,0,False,0,32,CASE,0,25,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
9,678,Commando IIC  ,,Commando IIC, ,25,978,Clan,2372500,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/G0xW7WP/commando-iic-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,4,False,4,False,0,False,0,False,0,25,"CASE,SRM2/2",0,25,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
10,5097,Solitaire  ,,Solitaire, ,25,1284,Clan,4507083,Standard,463,TR:J,534,RS:J,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3064,247,3062,https://i.ibb.co/71V7X2G/solitaire-3067.png,True,True,1.2,BattleMech,Striker,BM,1,"20""",0,3,1,0,3,False,3,False,0,False,0,False,1,36,ENE,0,25,civil-war,c_ih,3064,3067,Civil War,Clan Ice Hellion
11,3361,UrbanMech IIC  ,,UrbanMech IIC, ,30,798,Clan,1830725,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2849,11,2781,https://i.ibb.co/0MdxDm2/urbanmech-iic-3060.png,True,True,1.0,BattleMech,Sniper,BM,1,"6""j",0,3,3,0,2,False,2,False,2,False,0,False,0,20,CASE,0,30,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
12,1383,Hankyu (Arctic Cheetah) H,,Hankyu (Arctic Cheetah),H,30,1264,Clan,6490738,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3062,247,3062,https://i.ibb.co/48LhXBQ/hankyu-arctic-cheetah-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""/12""j",0,3,2,0,3,False,2,False,1,False,0,False,0,29,"ENE,OMNI,JMPW1",0,30,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
13,3445,Vixen (Incubus) 5,,Vixen (Incubus),5,30,1364,Clan,5509790,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3065,247,3062,https://i.ibb.co/k4kx8Bc/vixen-incubus-pp.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,4,2,0,4,False,3,False,1,False,0,False,0,37,CASE,0,30,civil-war,c_ih,3065,3067,Civil War,Clan Ice Hellion
14,2392,Pack Hunter  ,,Pack Hunter, ,30,1369,Clan,3206840,Standard,229,TR:3060,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/80tQ6rf/pack-hunter-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,3,0,2,False,2,False,2,False,0,False,0,27,ENE,0,30,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
15,7605,Drift Shag  ,,Drift Shag, ,30,1512,Clan,4783740,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2827,11,2781,https://i.ibb.co/qFMxvt6/falcon-3050u.png,True,True,1.0,BattleMech,Scout,BM,1,"14""/12""j",0,3,2,0,4,False,4,False,1,False,0,False,0,38,"ENE,JMPW1",0,30,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
16,3444,Vixen (Incubus) 4,,Vixen (Incubus),4,30,1581,Clan,5327140,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3065,247,3062,https://i.ibb.co/k4kx8Bc/vixen-incubus-pp.png,True,True,1.0,BattleMech,Striker,BM,1,"18""",0,4,2,0,3,False,3,False,0,False,0,False,1,36,ENE,0,30,civil-war,c_ih,3065,3067,Civil War,Clan Ice Hellion
17,7571,Devil  ,,Devil, ,30,1691,Clan,5502640,Standard,438,RG08,438,RG08,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2911,255,2901,https://i.ibb.co/p4nVJnh/devil-rg.png,True,True,1.0,BattleMech,Sniper,BM,1,"20""",0,3,2,0,2,False,2,False,2,False,0,False,0,33,ENE,0,30,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
19,2485,Phantom E,,Phantom,E,40,975,Clan,10547950,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,4,False,0,True,0,True,0,False,0,27,"CASE,OMNI",0,40,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
20,2482,Phantom B,,Phantom,B,40,1096,Clan,11055888,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Scout,BM,2,"18""",0,4,2,0,2,False,2,False,0,False,0,False,0,34,"CASE,OMNI,PRB,RCN,REAR1/1/-,SRM1/1",0,40,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
21,2487,Phantom Prime,,Phantom,Prime,40,1159,Clan,11200788,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"18""",0,4,2,0,2,False,2,False,0,True,0,False,0,37,"CASE,ECM,IF0*,OMNI,PRB,RCN,TAG",0,40,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
22,2486,Phantom H,,Phantom,H,40,1178,Clan,10412325,Standard,463,TR:J,534,RS:J,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3062,247,3062,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,5,False,1,False,0,False,0,False,0,30,"ENE,OMNI",0,40,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
23,2481,Phantom A,,Phantom,A,40,1410,Clan,10550138,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,4,False,4,False,1,False,0,False,0,43,"CASE,IF1,OMNI,REAR1/1/-",0,40,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
24,2484,Phantom D,,Phantom,D,40,1581,Clan,10845888,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,4,False,4,False,0,False,0,False,0,41,"CASE,OMNI",0,40,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
25,2483,Phantom C,,Phantom,C,40,1590,Clan,10394825,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,6,False,6,False,0,False,0,False,0,51,"ENE,OMNI,REAR0*/-/-",0,40,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
26,7752,Phoenix Hawk C,,Phoenix Hawk,C,45,1396,Clan,8179015,Standard,539,RGv1,455,RG11,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2831,11,2781,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,2,0,3,False,3,False,1,False,0,False,0,31,CASE,0,45,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
27,2912,Shadow Hawk IIC 2,,Shadow Hawk IIC,2,45,1763,Clan,0,Standard,539,RGv1,490,RG20,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2835,11,2781,https://i.ibb.co/r4CZrXN/shadow-hawk-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,4,0,3,False,3,False,2,False,0,False,1,35,ENE,0,45,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
28,366,Black Lanner D,,Black Lanner,D,55,1809,Clan,17686792,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/WVHNwq1/black-lanner-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"18""",0,5,3,0,5,False,4,False,0,False,0,False,1,51,"CASE,OMNI,PRB,RCN,SRM2/2",0,55,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
29,368,Black Lanner H,,Black Lanner,H,55,1928,Clan,17511448,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/WVHNwq1/black-lanner-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"18""",0,5,3,0,4,False,4,False,0,False,0,False,0,48,"ECM,ENE,OMNI",0,55,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
30,364,Black Lanner B,,Black Lanner,B,55,1961,Clan,17697448,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/WVHNwq1/black-lanner-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"18""",0,5,3,0,2,False,2,False,2,False,0,False,0,40,"CASE,IF2,LRM2/2/2,OMNI",0,55,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
31,369,Black Lanner Prime,,Black Lanner,Prime,55,2268,Clan,18098510,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/WVHNwq1/black-lanner-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,2,"18""",0,5,3,0,3,False,3,False,2,False,0,False,1,47,"CASE,ECM,IF1,OMNI",0,55,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
32,363,Black Lanner A,,Black Lanner,A,55,2308,Clan,18046198,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/WVHNwq1/black-lanner-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"18""",0,5,3,0,3,False,3,False,2,False,0,False,1,50,"ECM,ENE,OMNI,PRB,RCN,TAG",0,55,civil-war,c_ih,3062,3067,Civil War,Clan Ice Hellion
